subject,target,resolution,method,best_ch,mean_r,mean_nmse
dmnelf002,VIS,tr,TA,O1,0.018934874555691,1.0095759081289415
dmnelf002,DMN,hz4,EFP,CP6,0.1648666567923283,1.0868664722467984
dmnelf002,DMN,hz4,HRF,FC6,0.1028479265826735,1.0237670214120187
dmnelf002,DMN,hz4,TA,O1,0.017189296849354,1.0127066088151593
dmnelf002,CEN,hz4,EFP,CP1,0.1742625108514738,1.0469005939542393
dmnelf002,CEN,hz4,HRF,Oz,0.1808462685721943,0.9853121056708674
dmnelf002,CEN,hz4,TA,O1,0.0993574379875477,0.9914544368010813
dmnelf002,PDA,hz4,EFP,CP1,0.1724449368247329,1.057444799555651
dmnelf002,PDA,hz4,HRF,P3,0.123158930990667,1.0088102280432598
dmnelf002,PDA,hz4,TA,O1,0.007767630456464,1.0078073772491567
dmnelf002,GSR_DMN,hz4,EFP,Oz,0.3543462932164276,0.8946410041449958
dmnelf002,GSR_DMN,hz4,HRF,O1,0.0741662564744473,1.0399524903863826
dmnelf002,GSR_DMN,hz4,TA,O1,-0.1165737108633281,1.0265363776761205
dmnelf002,GSR_CEN,hz4,EFP,T7,0.0733278113050179,1.2459104226486497
dmnelf002,GSR_CEN,hz4,HRF,Oz,-0.0242668733266967,1.0901588129493178
dmnelf002,GSR_CEN,hz4,TA,P3,0.0353794899968541,1.0071355103604862
dmnelf002,GSR_PDA,hz4,EFP,Pz,0.0727164083805375,1.2414471541934062
dmnelf002,GSR_PDA,hz4,HRF,P3,-0.0027093751563171,1.0873802713537282
dmnelf002,GSR_PDA,hz4,TA,P3,0.0623075554680224,1.0002295306750368
dmnelf002,VIS,hz4,EFP,F7,0.0573646014669162,1.0818551559715646
dmnelf002,VIS,hz4,HRF,P4,0.0612588508978528,1.0313727912002886
dmnelf002,VIS,hz4,TA,O1,-0.0344640055890406,1.0192827557024362
dmnelf003,DMN,tr,EFP,CP6,-0.0446588979473478,1.093283576210896
dmnelf003,DMN,tr,HRF,P4,-0.1036444908586581,1.1062688684004272
dmnelf003,DMN,tr,TA,O2,-0.167726203751209,1.0236123081895905
dmnelf003,CEN,tr,EFP,POz,0.2699917521850813,0.9493307229682192
dmnelf003,CEN,tr,HRF,FC6,-0.0624895979980031,1.1532316219372307
dmnelf003,CEN,tr,TA,Pz,-0.0874288826027807,1.0738069266110433
dmnelf003,PDA,tr,EFP,POz,0.2356717775577654,0.994229484056653
dmnelf003,PDA,tr,HRF,C4,-0.0113942749931928,1.157994918429737
dmnelf003,PDA,tr,TA,Pz,0.0316017048910118,1.0329944092516812
dmnelf003,GSR_DMN,tr,EFP,TP10,0.0395770604389866,1.118877330883672
dmnelf003,GSR_DMN,tr,HRF,P4,-0.1327643291961989,1.246196056667507
dmnelf003,GSR_DMN,tr,TA,Pz,-0.0282650380669705,1.0341940385946469
dmnelf003,GSR_CEN,tr,EFP,T7,0.2853849873821689,1.0014090492006462
dmnelf003,GSR_CEN,tr,HRF,F8,0.2926874957643003,1.1239369265423993
dmnelf003,GSR_CEN,tr,TA,Pz,0.1377689687740424,1.0190118522578058
dmnelf003,GSR_PDA,tr,EFP,Fp2,0.2731154405238199,0.9948305278948382
dmnelf003,GSR_PDA,tr,HRF,F8,0.3047947635490418,1.0095197319539253
dmnelf003,GSR_PDA,tr,TA,Pz,0.2183935500082892,0.9620861923012842
dmnelf003,VIS,tr,EFP,Oz,0.1766348972507231,0.9769658063779236
dmnelf003,VIS,tr,HRF,F7,0.13635756870034,0.9873222307220229
dmnelf003,VIS,tr,TA,O1,0.0941128993745396,0.993686419343818
dmnelf003,DMN,hz4,EFP,F7,-0.0293895143700861,1.2332824926838206
dmnelf003,DMN,hz4,HRF,F3,-0.156785292686029,1.1096301513595466
dmnelf003,DMN,hz4,TA,O2,-0.075232687763095,1.0175124073831618
dmnelf003,CEN,hz4,EFP,P8,0.232022444820077,1.0145771661920502
dmnelf003,CEN,hz4,HRF,P8,0.2849683518248292,1.006884365746463
dmnelf003,CEN,hz4,TA,O1,-0.1196101973438244,1.016222255039928
dmnelf003,PDA,hz4,EFP,POz,0.2106471912387802,1.0423231026099624
dmnelf003,PDA,hz4,HRF,C4,0.2457581306580205,1.03277774293401
dmnelf003,PDA,hz4,TA,Pz,-0.0967974318985284,1.0275436007931495
dmnelf003,GSR_DMN,hz4,EFP,F4,-0.0365796026448882,1.2955805493937251
dmnelf003,GSR_DMN,hz4,HRF,P3,0.0283146059702349,1.0732239309119074
dmnelf003,GSR_DMN,hz4,TA,Pz,-0.0592854005581339,1.0308542555143496
